data_envio,nome,revista,doc_id
2026-08-11,Residual lipid risk in atherosclerotic cardiovascular disease,European Heart Journal,10.1093/eurheartj/ehag087
2026-08-11,Sudden Cardiac Death Due to Myocardial Infarction With Obstructive and Nonobstructive Coronary Arteries,Journal of the American College of Cardiology,10.1016/j.jacc.2026.01.030
2026-08-12,Functional Status Indicators and Long-Term Mortality Following Elective Coronary Artery Bypass Grafting: A Multicenter Cohort Study,Journal of the American Heart Association,10.1161/JAHA.125.048997
2026-08-12,"Past, Present, and Future of Evaluating Diastolic Function",Circulation: Cardiovascular Imaging,10.1161/CIRCIMAGING.125.018986
2026-08-13,Causes and consequences of discontinuation of GLP1RAs or tirzepatide,Nature Reviews Endocrinology,10.1038/s41574-026-01258-5
2026-08-13,Beyond weight loss: multisystem benefits of obesity medications,The Lancet Diabetes & Endocrinology,10.1016/S2213-8587(26)00100-2
2026-08-13,Managing bleeds on anticoagulant therapy: a practical guide for clinicians,European Heart Journal: Acute Cardiovascular Care,10.1093/ehjacc/zuag035
