ramo;o_que_e;TEMA_proposto;artigos;seus_descritores;CORRIGIR_tema;observacao
C14.280.695;Pericardial Effusion;Miocardiopatias;0;;;
C14.280.720;Pericarditis;Miocardiopatias;0;;;
C14.280.793;Postpericardiotomy Syndrome;Intervenção/Hemodinâmica;0;correcao - miocardiopatia ;;
C14.280.832;Pulmonary Heart Disease;Miocardiopatias;0;;;
C14.280.874;Rheumatic Heart Disease;Miocardiopatias;0;doenca reumatica - especificamente febre reumatica tem que ficar em valvulopatias ;;
C14.907;(todas as doenças VASCULARES);Coronária/DAC;0;;;
C14.907.055;Aneurysm;Aorta/Congênitas/Genética;0;;;
C14.907.065;Aneurysm, False;Aorta/Congênitas/Genética;0;;;
C14.907.150;Arteriovenous Malformations;Aorta/Congênitas/Genética;0;;;
C14.907.218;Capillary Leak Syndrome;UTI Cardiológica;0;;;
C14.907.320;Diabetic Angiopathies;Cardiometabólica;0;;;
C14.907.454;Hemostatic Disorders;Arritmias/Anticoagulantes;0;;;
C14.907.613;Penetrating Atherosclerotic Ulcer;Coronária/DAC;0;correcao - Aorta/Congênitas/Genética;;
C14.907.617;Peripheral Vascular Diseases;Coronária/DAC;0;;;
C14.907.653;Prehypertension;Hipertensão/HAS;0;;;
C14.907.690;Pulmonary Veno-Occlusive Disease;Miocardiopatias;0;;;
C14.907.780;Scimitar Syndrome;Aorta/Congênitas/Genética;0;;;
C14.907.798;Stenosis, Pulmonary Vein;Miocardiopatias;0;correcao - valvulopatias;;
C14.907.936;Vascular Neoplasms;Cardio-Oncologia;0;;;
C14.907.946;Vasoplegia;UTI Cardiológica;0;correcao - vasoplegia - se for artigo de sincope e disautonomia - arrimia e anticoagulante ;;
